Planet Name,Parallax,Number of Photometric Measurements,Number of Spectroscopic Measurements,Right Ascension,Declination,Galactic Longitude,Star Age Limit,Cluster
Kepler-197 b,-0.1829338701880611,-0.4634911284070809,-0.2721781592978959,0.6385399772846796,1.0020801722446555,-0.3504875947521739,0.0,0
Kepler-403 c,-0.9434377326074944,-0.4634911284070809,-0.2721781592978959,0.5066746931726147,0.7776811002791943,-0.4431937470914345,0.0,0
Kepler-130 d,-0.1409984558490467,-0.4634911284070809,-0.2721781592978959,0.4718196993492243,0.4407799345347356,-0.5703088740934814,0.0,0
Kepler-100 b,-0.1030540325869013,-0.4634911284070809,-0.2721781592978959,0.5421145405317963,0.5257437022688627,-0.5192175252467285,0.0,0
Kepler-48 b,-0.109783540189168,-0.4634911284070809,-0.2721781592978959,0.7420952001159588,0.4745695282601441,-0.4832260216070491,0.0,0
Kepler-100 c,-0.1030540325869013,-0.4634911284070809,-0.2721781592978959,0.5421145405317963,0.5257437022688627,-0.5192175252467285,0.0,0
Kepler-106 c,-0.4600198244551641,-0.4634911284070809,-0.2721781592978959,0.7894716610005618,0.6463528414611117,-0.4160272260344744,0.0,0
HD 260655 c,1.8705230985388013,2.155323140518369,3.674234735625266,-1.4108393954135214,-0.3857543990832647,0.9120545438687656,0.0,3
Kepler-47 c,-1.0569289281804182,-0.4634911284070809,-0.2721781592978959,0.6403816347669933,0.7875869323323715,-0.4098505694307439,0.0,0
HD 63433 b,1.7295342017609798,2.155323140518369,-0.2721781592978959,-1.3264591607728082,-0.0805639497984886,0.8944691079287278,0.0,2
TOI-1246 e,0.4794811265893144,-0.4634911284070809,-0.2721781592978959,-0.2139294718303898,2.5151759155921893,-0.0448548266561955,0.0,0
TOI-1422 b,0.5641774189978009,-0.4634911284070809,-0.2721781592978959,2.704793989015453,0.4121994057509364,0.03087089025174,0.0,0
Kepler-16 b,1.1724055242447051,-0.4634911284070809,3.6742366992696143,0.4865468976743882,1.0767481541184534,-0.3596861782595969,0.0,3
